ORG CODE,Fund,OBJECT CODE,DESCRIPTION,FY 2023 Budget,FY 2024 Budget,FY2025 Budget,BOS FY26
610,LIBRARY DEPARTMENT,5705711,TRAVEL,220,220,220,100
610,LIBRARY DEPARTMENT,NEW,ELECTRICITY,"1,853","2,000","2,050","2,050"
610,LIBRARY DEPARTMENT,,ADDITIONAL EQUIPMENT,0,,,
691,HISTORICAL COMMISSION,0,ENERGY,,0,0,0
691,HISTORICAL COMMISSION,0,R. & M.- BUILDINGS & GROUNDS,,,,
691,HISTORICAL COMMISSION,0,TELEPHONE/ALARM,,,,
691,HISTORICAL COMMISSION,0,COMMUNICATIONS-ADVERTISING,,,,
691,HISTORICAL COMMISSION,5705700,OFFICE SUPPLIES,100,200,200,0
691,HISTORICAL COMMISSION,,POSTAGE,,,,
691,HISTORICAL COMMISSION,,TRAVEL,,,,
691,HISTORICAL COMMISSION,,DUES/SUBSCRIPTION/MEMBERSHIP,,,,
692,CELEBRATIONS,,ROAD RACE,,0,0,0
692,CELEBRATIONS,,HOLIDAYS,,,,
692,CELEBRATIONS,,OTHER CELEBRATIONS,,,,
692,CELEBRATIONS,5705700,EVENTS,"1,000","1,500","1,500",0
711,RETIREMENT OF DEBT,5905904,TOWN OFFICE BLDG,"160,000","165,000","170,000","175,000"
711,RETIREMENT OF DEBT,5905918,SBRSD HIGH SCHOOL,"370,668","367,098","354,634","387,878.40"
711,RETIREMENT OF DEBT,,Bristol Plymouth High School,0,"181,000","20,434","18,923"
711,RETIREMENT OF DEBT,,Berkley Community School,0,,0,0
711,RETIREMENT OF DEBT,,Multiple Use of Equipment,0,"250,000","250,000","250,000"
711,INTEREST,5705901,TOWN OFFICE BUILDING,"39,675","37,275","69,600","64,500"
711,INTEREST,5705919,SBRSD HIGH SCHOOL,"211,294","191,314","169,585","166,233.60"
711,INTEREST,,Bristol Plymouth High School,0,"27,742","219,348","543,148"
711,INTEREST,,Berkley Community School,0,,0,"245,839.44"
711,INTEREST,,Multiple Use of Equipment,0,"24,938","14,962.50","4,987.50"
